target_gene,which_CS,carbon_source_uptake,growth_rate,acetate_secretion,pts,zwf,gnd,pgi,"edd, eda","pfk, fba",tktA,tktB,tal,"gap, pgk",eno,pyk,pdh,"glta, can",icd,suc,"sdh, fum",mdh,mae,pck,pcc,"pta, acka","acea, aceb"
ArgR,glu,6.87,0.46,4.64,6.77,2.29,1.30,4.45,0.99,05.05,0.42,0.22,0.42,11.26,10.53,08.01,7.92,1.87,1.87,1.14,1.14,0.58,0.56,0.23,2.33,4.92,0.00
AscG,glu,7.28,0.53,4.72,7.00,2.45,1.52,4.53,0.93,5.24,0.49,0.27,0.49,11.62,10.82,8.53,7.79,1.75,1.75,0.96,0.96,0.82,0.14,0.34,2.16,4.79,0.00
BasR,glu,7.15,0.52,4.89,7.10,2.23,1.33,4.84,0.90,5.43,0.43,0.20,0.43,11.90,11.11,8.62,08.07,1.91,1.91,1.12,1.12,0.78,0.35,0.19,2.21,4.91,0.00
BolA,glu,7.12,0.53,3.69,6.67,1.85,1.29,4.79,0.57,5.34,0.41,0.18,0.41,11.36,10.52,7.83,6.96,1.70,1.70,0.87,0.87,0.42,0.45,0.14,2.34,3.96,0.00
ChpB,glu,6.90,0.51,05.04,6.89,02.02,1.46,4.85,0.57,5.53,0.47,0.25,0.47,11.81,11.04,8.77,7.74,1.75,1.75,0.97,0.97,0.81,0.16,0.33,2.13,4.78,0.00
CpxR,glu,7.86,0.54,5.96,7.86,2.29,1.54,5.54,0.75,6.27,0.50,0.27,0.50,13.48,12.66,10.28,9.36,1.95,1.95,1.14,1.14,0.96,0.18,0.24,2.14,6.12,0.00
Cra,glu,08.06,0.54,5.12,7.47,2.14,1.40,5.30,0.74,5.92,0.45,0.21,0.45,12.71,11.86,9.11,8.39,1.64,1.64,0.80,0.80,0.34,0.46,0.23,2.48,5.41,0.00
CreB,glu,7.37,0.54,4.33,7.22,02.03,1.47,5.16,0.56,5.83,0.47,0.24,0.47,12.40,11.56,8.89,7.99,1.96,1.96,1.13,1.13,0.70,0.42,0.20,2.37,4.72,0.00
Crl,glu,6.33,0.46,04.03,6.28,2.11,1.27,4.15,0.85,4.73,0.41,0.21,0.41,10.46,9.75,7.34,07.03,1.83,1.83,1.11,1.11,0.65,0.46,0.07,02.05,04.08,0.00
Crp,glu,5.27,0.32,2.61,4.96,1.56,1.13,3.37,0.44,3.93,0.37,0.21,0.37,8.46,7.92,6.10,5.60,1.26,1.26,0.70,0.70,0.38,0.32,0.23,1.72,3.48,0.00
CsgD,glu,7.48,0.55,5.31,7.47,1.90,1.49,5.54,0.41,6.22,0.48,0.25,0.48,13.03,12.19,9.45,8.46,1.83,1.83,1.00,1.00,0.52,0.48,0.21,2.45,5.32,0.00
CspA,glu,7.13,0.55,4.25,07.08,2.28,1.54,4.77,0.75,5.48,0.50,0.26,0.50,11.90,11.06,8.48,7.66,02.01,02.01,1.18,1.18,0.85,0.33,0.29,2.37,4.33,0.00
CysB,glu,6.68,0.47,4.73,6.62,1.87,1.18,4.72,0.69,5.24,0.38,0.17,0.38,11.28,10.55,8.32,7.60,1.57,1.57,0.84,0.84,0.59,0.25,0.19,1.99,4.88,0.00
CytR,glu,6.90,0.55,3.55,6.75,2.14,1.37,4.58,0.77,5.18,0.44,0.21,0.44,11.27,10.43,08.08,07.05,02.03,02.03,1.20,1.20,1.10,0.10,0.27,2.13,3.71,0.00
DcuR,glu,7.49,0.57,5.19,7.48,2.30,1.55,5.16,0.75,5.87,0.50,0.26,0.50,12.66,11.80,9.41,8.29,1.77,1.77,0.92,0.92,0.86,0.07,0.47,2.34,5.16,0.00
EvgA,glu,9.13,0.59,4.72,8.17,2.13,1.55,06.01,0.58,6.69,0.49,0.23,0.49,14.11,13.15,10.23,09.03,2.25,2.25,1.30,1.30,0.94,0.37,0.32,2.68,5.29,0.00
FadR,glu,7.44,0.54,4.65,7.20,02.08,1.59,05.06,0.49,5.84,0.51,0.28,0.51,12.38,11.55,9.19,7.95,1.80,1.80,0.98,0.98,0.84,0.14,0.34,2.20,4.86,0.00
FhlA,glu,8.20,0.58,04.08,7.59,02.03,1.35,5.52,0.69,06.08,0.43,0.18,0.43,12.95,12.05,9.13,8.27,1.97,1.97,01.07,01.07,0.59,0.49,0.30,2.68,4.88,0.00
Fis,glu,8.80,0.66,04.01,7.88,2.12,1.61,5.73,0.52,6.42,0.51,0.24,0.51,13.51,12.52,9.15,8.21,1.98,1.98,01.01,01.01,0.28,0.73,0.08,2.86,4.67,0.00
FlhD,glu,7.11,0.52,04.07,6.81,2.19,1.54,4.60,0.66,5.32,0.50,0.27,0.50,11.49,10.68,8.14,7.34,1.73,1.73,0.92,0.92,0.56,0.36,0.32,2.38,4.34,0.00
FliZ,glu,07.05,0.51,4.55,6.85,02.02,1.41,4.80,0.62,5.45,0.46,0.24,0.46,11.68,10.90,8.29,7.63,1.74,1.74,0.96,0.96,0.46,0.50,0.20,2.35,4.66,0.00
Fnr,glu,7.31,0.55,4.29,07.08,2.19,1.50,4.86,0.69,5.55,0.48,0.25,0.48,11.97,11.12,8.75,7.65,1.94,1.94,1.11,1.11,1.00,0.11,0.35,2.22,4.40,0.00
FrvR,glu,7.21,0.55,4.25,7.11,2.48,1.48,4.61,1.00,5.28,0.48,0.24,0.48,11.73,10.89,08.06,7.72,1.99,1.99,1.15,1.15,0.59,0.56,0.06,2.39,4.41,0.00
Fur,glu,6.51,0.47,4.96,6.39,1.29,1.19,05.07,0.10,5.60,0.38,0.18,0.38,11.43,10.71,8.60,7.19,1.38,1.38,0.65,0.65,0.52,0.13,0.13,1.81,4.67,0.00
GadE,glu,8.95,0.56,4.91,8.72,2.65,1.82,06.04,0.83,6.91,0.59,0.34,0.59,14.92,14.02,10.88,10.37,2.53,2.53,1.63,1.63,0.93,0.71,0.33,2.94,6.43,0.00
GadW,glu,7.77,0.54,4.40,7.26,1.93,1.43,5.31,0.50,5.95,0.46,0.22,0.46,12.54,11.69,8.87,7.99,1.88,1.88,01.04,01.04,0.50,0.54,0.21,2.53,4.77,0.00
GadX,glu,7.99,0.54,4.56,7.75,02.01,1.59,5.71,0.43,6.45,0.51,0.28,0.51,13.54,12.70,9.95,8.98,02.03,02.03,1.19,1.19,0.70,0.50,0.36,2.62,5.64,0.00
GcvA,glu,6.84,0.52,4.44,6.93,02.03,1.30,4.88,0.73,5.45,0.42,0.20,0.42,11.75,10.96,8.65,7.72,1.62,1.62,0.83,0.83,0.68,0.15,0.20,02.03,4.85,0.00
GlcC,glu,8.26,0.54,4.52,08.04,2.17,1.40,5.84,0.77,6.45,0.45,0.21,0.45,13.83,12.98,10.22,9.56,1.80,1.80,0.96,0.96,0.48,0.48,0.21,2.47,6.43,0.00
GlpR,glu,4.76,0.40,4.00,5.12,1.90,1.34,3.20,0.56,3.89,0.44,0.28,0.44,8.58,08.03,6.29,5.84,1.13,1.13,0.58,0.58,0.34,0.24,0.05,1.45,3.85,0.00
HdfR,glu,8.13,0.49,4.51,7.95,02.04,1.58,5.89,0.45,6.65,0.51,0.29,0.51,14.00,13.21,10.71,9.77,1.89,1.89,1.11,1.11,0.72,0.39,0.29,2.33,6.65,0.00
Hns,glu,5.11,0.44,3.70,5.22,1.25,0.94,3.96,0.31,4.34,0.30,0.12,0.30,09.06,8.41,6.51,5.50,1.42,1.42,0.77,0.77,0.63,0.15,0.17,1.69,03.07,0.00
