target_gene,glucose_uptake,growth_rate,acetate_secretion,pts,zwf,gnd,pgi,edd_eda,pfk_fba,tktA,tktB,tal,gap_pgk,eno,pyk,pdh,glta_can,icd,suc,sdh_fum,mdh,mae,pck,pcc,pta_acka,acea_aceb
FhlA,8.20,0.58,04.08,7.59,02.03,1.35,5.52,0.69,06.08,0.43,0.18,0.43,12.95,12.05,9.13,8.27,1.97,1.97,01.07,01.07,0.59,0.49,0.30,2.68,4.88,0.00
Fis,8.80,0.66,04.01,7.88,2.12,1.61,5.73,0.52,6.42,0.51,0.24,0.51,13.51,12.52,9.15,8.21,1.98,1.98,01.01,01.01,0.28,0.73,0.08,2.86,4.67,0.00
FlhD,7.11,0.52,04.07,6.81,2.19,1.54,4.60,0.66,5.32,0.50,0.27,0.50,11.49,10.68,8.14,7.34,1.73,1.73,0.92,0.92,0.56,0.36,0.32,2.38,4.34,0.00
FliZ,07.05,0.51,4.55,6.85,02.02,1.41,4.80,0.62,5.45,0.46,0.24,0.46,11.68,10.90,8.29,7.63,1.74,1.74,0.96,0.96,0.46,0.50,0.20,2.35,4.66,0.00
Fnr,7.31,0.55,4.29,07.08,2.19,1.50,4.86,0.69,5.55,0.48,0.25,0.48,11.97,11.12,8.75,7.65,1.94,1.94,1.11,1.11,1.00,0.11,0.35,2.22,4.40,0.00
FrvR,7.21,0.55,4.25,7.11,2.48,1.48,4.61,1.00,5.28,0.48,0.24,0.48,11.73,10.89,08.06,7.72,1.99,1.99,1.15,1.15,0.59,0.56,0.06,2.39,4.41,0.00
Fur,6.51,0.47,4.96,6.39,1.29,1.19,05.07,0.10,5.60,0.38,0.18,0.38,11.43,10.71,8.60,7.19,1.38,1.38,0.65,0.65,0.52,0.13,0.13,1.81,4.67,0.00
GadE,8.95,0.56,4.91,8.72,2.65,1.82,06.04,0.83,6.91,0.59,0.34,0.59,14.92,14.02,10.88,10.37,2.53,2.53,1.63,1.63,0.93,0.71,0.33,2.94,6.43,0.00
GadW,7.77,0.54,4.40,7.26,1.93,1.43,5.31,0.50,5.95,0.46,0.22,0.46,12.54,11.69,8.87,7.99,1.88,1.88,01.04,01.04,0.50,0.54,0.21,2.53,4.77,0.00
GadX,7.99,0.54,4.56,7.75,02.01,1.59,5.71,0.43,6.45,0.51,0.28,0.51,13.54,12.70,9.95,8.98,02.03,02.03,1.19,1.19,0.70,0.50,0.36,2.62,5.64,0.00
GcvA,6.84,0.52,4.44,6.93,02.03,1.30,4.88,0.73,5.45,0.42,0.20,0.42,11.75,10.96,8.65,7.72,1.62,1.62,0.83,0.83,0.68,0.15,0.20,02.03,4.85,0.00
GlcC,8.26,0.54,4.52,08.04,2.17,1.40,5.84,0.77,6.45,0.45,0.21,0.45,13.83,12.98,10.22,9.56,1.80,1.80,0.96,0.96,0.48,0.48,0.21,2.47,6.43,0.00
GlpR,4.76,0.40,4.00,5.12,1.90,1.34,3.20,0.56,3.89,0.44,0.28,0.44,8.58,08.03,6.29,5.84,1.13,1.13,0.58,0.58,0.34,0.24,0.05,1.45,3.85,0.00
HdfR,8.13,0.49,4.51,7.95,02.04,1.58,5.89,0.45,6.65,0.51,0.29,0.51,14.00,13.21,10.71,9.77,1.89,1.89,1.11,1.11,0.72,0.39,0.29,2.33,6.65,0.00
Hns,5.11,0.44,3.70,5.22,1.25,0.94,3.96,0.31,4.34,0.30,0.12,0.30,09.06,8.41,6.51,5.50,1.42,1.42,0.77,0.77,0.63,0.15,0.17,1.69,03.07,0.00
IclR,8.14,0.50,04.08,7.32,1.93,1.45,5.37,0.48,06.03,0.47,0.24,0.47,12.72,11.90,9.42,8.34,2.34,2.34,1.53,1.53,1.25,0.28,0.35,2.35,4.72,0.00
IdnR,07.03,0.55,4.50,07.05,1.81,1.35,5.21,0.46,5.80,0.43,0.20,0.43,12.18,11.34,8.97,7.65,1.68,1.68,0.84,0.84,0.74,0.10,0.33,2.20,4.65,0.00
IHFA,6.45,0.44,3.64,6.24,1.69,0.98,4.53,0.70,4.93,0.32,0.12,0.32,10.63,9.92,7.78,07.05,2.26,2.26,1.54,1.54,1.35,0.20,0.16,1.87,3.68,0.00
IHFB,7.66,0.55,2.89,7.67,02.01,1.59,5.63,0.42,6.33,0.51,0.24,0.51,13.27,12.32,9.70,08.08,3.60,3.60,2.66,2.66,2.58,0.08,0.36,2.42,2.99,0.00
KdgR,6.39,0.55,3.80,6.53,02.06,1.44,4.45,0.62,5.10,0.47,0.23,0.47,10.98,10.15,7.90,6.67,1.68,1.68,0.85,0.85,0.83,0.02,0.18,1.94,3.69,0.00
LldR,8.32,0.57,4.64,7.89,2.65,1.51,5.21,1.14,5.88,0.48,0.24,0.48,13.07,12.19,9.56,8.97,2.14,2.14,1.27,1.27,01.02,0.26,0.46,2.56,5.43,0.00
LrhA,7.24,0.49,4.12,6.95,02.05,1.49,4.87,0.57,5.57,0.48,0.26,0.48,11.90,11.12,8.55,7.77,1.62,1.62,0.84,0.84,0.40,0.44,0.33,2.42,4.91,0.00
Lrp,5.52,0.45,4.34,5.71,1.56,1.48,4.13,0.08,4.87,0.48,0.29,0.48,10.06,9.39,7.44,6.14,1.47,1.47,0.80,0.80,0.68,0.13,0.44,1.99,3.62,0.00
MarA,7.72,0.56,04.09,7.42,2.00,1.53,5.39,0.46,06.09,0.49,0.25,0.49,12.82,11.94,8.91,08.06,02.06,02.06,1.19,1.19,0.52,0.67,0.39,2.90,4.62,0.00
MarR,8.10,0.55,4.29,7.48,1.70,1.32,5.74,0.38,6.29,0.42,0.18,0.42,13.07,12.19,9.28,8.20,02.03,02.03,1.15,1.15,0.63,0.53,0.36,2.74,4.78,0.00
Mlc,6.71,0.53,4.12,6.71,1.86,1.42,4.83,0.44,5.47,0.46,0.23,0.46,11.55,10.74,8.29,7.19,1.80,1.80,1.00,1.00,0.72,0.27,0.28,2.25,4.12,0.00
ModE,8.30,0.56,3.62,7.66,02.01,1.46,5.62,0.55,6.25,0.47,0.21,0.47,13.17,12.23,9.50,8.15,2.20,2.20,1.27,1.27,01.07,0.22,0.47,2.64,4.48,0.00
NagC,7.23,0.55,4.71,7.13,1.76,1.46,5.34,0.30,6.00,0.47,0.23,0.47,12.46,11.62,9.33,7.75,1.61,1.61,0.78,0.78,0.77,0.02,0.49,2.28,4.80,0.00
NarL,6.98,0.55,5.24,7.28,1.79,1.41,5.47,0.38,6.10,0.45,0.22,0.45,12.72,11.89,9.13,8.17,1.67,1.67,0.85,0.85,0.32,0.53,0.10,2.37,5.19,0.00
NarP,7.81,0.54,4.42,7.36,2.11,1.25,5.23,0.86,5.75,0.40,0.16,0.40,12.44,11.60,8.87,8.26,02.01,02.01,1.16,1.16,0.73,0.44,0.35,2.57,4.92,0.00
NsrR,7.41,0.50,3.45,6.99,1.77,1.53,5.20,0.23,5.94,0.50,0.28,0.50,12.32,11.54,8.95,7.83,2.21,2.21,1.41,1.41,0.97,0.45,0.37,2.49,4.38,0.00
NtrC,7.75,0.57,04.01,7.34,02.02,1.51,5.29,0.51,5.97,0.48,0.24,0.48,12.61,11.74,8.88,7.91,2.22,2.22,1.35,1.35,0.86,0.49,0.26,2.59,4.32,0.00
OgrK,7.42,0.49,4.40,6.85,2.35,1.28,4.48,01.07,05.04,0.41,0.19,0.41,11.27,10.49,7.91,7.68,1.76,1.76,0.98,0.98,0.51,0.47,0.22,2.34,4.69,0.00
OmpR,08.09,0.55,3.69,7.41,1.97,1.39,5.41,0.58,5.99,0.45,0.19,0.45,12.68,11.75,8.75,7.70,2.27,2.27,1.34,1.34,0.86,0.48,0.23,2.67,3.96,0.00
OxyR,7.54,0.53,5.62,7.41,2.40,1.86,4.98,0.55,5.92,0.61,0.37,0.61,12.68,11.88,9.70,8.43,02.01,02.01,1.21,1.21,1.21,0.00,0.32,02.01,5.16,0.00
PdhR,7.93,0.52,3.86,8.16,2.94,1.59,5.19,1.35,5.91,0.51,0.26,0.51,13.36,12.46,9.24,9.37,03.02,03.02,2.12,2.12,1.33,0.79,0.16,2.85,4.94,0.00
PerR,07.03,0.50,05.09,7.13,2.22,1.44,4.89,0.78,5.57,0.46,0.25,0.46,12.10,11.33,8.87,8.31,1.79,1.79,01.02,01.02,0.63,0.39,0.33,2.34,5.32,0.00
PhoB,6.38,0.50,04.06,6.36,1.96,1.37,4.38,0.60,05.01,0.44,0.22,0.44,10.77,10.01,7.93,6.82,1.56,1.56,0.80,0.80,0.78,0.02,0.31,1.94,04.06,0.00
PrpR,7.65,0.52,4.20,7.63,02.09,1.60,5.51,0.49,6.26,0.52,0.28,0.52,13.22,12.37,09.04,8.63,2.30,2.30,1.46,1.46,0.43,01.03,0.26,03.08,4.99,0.00
PspC,7.31,0.51,4.23,6.96,2.16,1.32,4.77,0.85,5.35,0.42,0.20,0.42,11.68,10.89,8.15,7.74,1.97,1.97,1.18,1.18,0.61,0.56,0.31,2.57,4.51,0.00
PurR,7.73,0.54,4.51,7.16,02.03,1.44,5.10,0.60,5.74,0.46,0.22,0.46,12.22,11.37,8.95,7.74,1.71,1.71,0.86,0.86,0.74,0.12,0.54,2.45,4.69,0.00
QseB,7.95,0.55,5.90,7.73,2.33,1.62,5.37,0.71,6.14,0.52,0.28,0.52,13.21,12.36,9.94,8.92,1.57,1.57,0.73,0.73,0.58,0.16,0.43,2.36,06.02,0.00
RcsA,8.85,0.59,5.22,8.54,2.70,1.77,5.81,0.94,6.62,0.56,0.29,0.56,14.38,13.40,10.18,9.51,2.52,2.52,1.56,1.56,0.97,0.59,0.20,2.84,5.44,0.00
